SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,RECEIVE_INVEST_INCOME,RII_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO
000333,美的集团,2009-09-30 00:00:00,4436342714.99,162.9462589408,34279679385.67,1259.0879182332,2442128172.73,89.6990325512,-1213121175.59,-44.5577742532,265895614.99,9.7663094389,1370019480.15,50.3206274421,-500331823.88,-18.3771192101
000333,美的集团,2008-03-31 00:00:00,-467455356.71,-46.9647496524,10336797063.36,1038.5271648301,630516564.51,63.3473382621,-1573721305.88,-158.1101298604,3982300.18,0.4000975244,452354585.37,45.4475909861,3036509034.57,305.0748795128
000333,美的集团,2008-09-30 00:00:00,3424921568.44,208.9929453514,36401556511.32,2221.2679498351,2227737342.23,135.9392848327,-3924780236.45,-239.4949388129,56430672.51,3.4434693526,2677355059.59,163.3755134165,2099661936.05,128.1239653196
000333,美的集团,2007-06-30 00:00:00,1623307761.65,312.7928479459,27944000913.8,5384.4895190703,1010572663.72,194.7257993887,-428021335.67,-82.4748182253,31655753.24,6.0997017594,574629599.92,110.7245547143,-676314278.02,-130.3180297206
000333,美的集团,2010-06-30 00:00:00,6062067982.84,106.2131182914,34855398113.29,610.6992751287,2525691269.7,44.2524805653,-1653597816.4,-28.9725850942,121401287.17,2.1270644459,2035853644.27,35.6700658183,1304470618.66,22.8555490502
000333,美的集团,2008-06-30 00:00:00,1968357718.88,89.8835468212,27203818705.06,1242.2415340657,1523848659.74,69.5853812762,-2902298954.4,-132.5312576341,56170672.51,2.5649907149,1649904882.87,75.3416421047,3114149431.25,142.2052473121
000333,美的集团,2009-06-30 00:00:00,2801266970.28,784.6263459421,23226158782.22,6505.5763298927,1680151066.15,470.6051960239,-1025455853.05,-287.2270609835,229972111.24,64.4144878818,996328464.09,279.0685680554,-1418680950.86,-397.3682131481
000333,美的集团,2010-09-30 00:00:00,9527622126.24,133.7594485142,55708908931.71,782.1041637986,3707766610.27,52.0537874443,-4238927255.56,-59.5108164957,160327206.98,2.2508532038,3909811218.37,54.8903163281,1848258337.93,25.9479241218
000333,美的集团,2009-03-31 00:00:00,974804500.0,39763.5937181318,8814066800.0,359537.703446869,809549400.0,33022.6147256782,-399332100.0,-16289.296349174,3595800.0,146.6775443606,363680900.0,14835.0356924332,-573020900.0,-23374.2973689578
000333,美的集团,2011-03-31 00:00:00,-827900090.72,-14.8067002796,22643343011.73,404.9681804143,2168155024.61,38.7766857004,-2210555980.2,-39.5350117932,95278885.82,1.7040291711,1817732624.86,32.5095050315,8635907887.8,154.4501579001
000333,美的集团,2010-03-31 00:00:00,786801236.87,75.7128806358,12628753937.23,1215.2489022927,1448149807.05,139.3536109833,-1094410925.28,-105.3137690555,55298473.47,5.3213016515,845229607.31,81.3353682853,1347795723.25,129.6966653508
000333,美的集团,2010-12-31 00:00:00,4731690836.22,160.689331575,61381152712.72,2084.518355512,5790663016.41,196.6522754108,-5913099614.41,-200.8102510211,384182621.62,13.0469320181,6050450581.69,205.4747221135,4133064812.93,140.359851295
000333,美的集团,2009-12-31 00:00:00,3524105320.9,204.1462669165,47447119813.02,2748.542255058,3430568219.69,198.7277994499,-3183568865.79,-184.4194881374,241340482.25,13.9805011544,2047096214.96,118.585289669,1392381795.78,80.658640945
000333,美的集团,2008-12-31 00:00:00,4419600460.0,310.9799910873,45977038881.59,3235.1202944748,3075203396.08,216.3830720355,-5574033627.44,-392.2103238675,109916287.22,7.7341303426,3167618646.82,222.8857625189,2583227776.05,181.765785854
000333,美的集团,2022-06-30 00:00:00,21394710000.0,103.0539546666,153366180000.0,738.7336103698,18431348000.0,88.7800442837,-6562852000.0,-31.611919605,3023041000.0,14.5613719545,2868894000.0,13.8188772935,5783043000.0,27.8557386923
000333,美的集团,2023-06-30 00:00:00,29784674000.0,834.0305552265,174235446000.0,4878.9416250627,20253369000.0,567.1349161746,-27046688000.0,-757.3614607861,3426440000.0,95.9471859806,2794669000.0,78.2563320231,-6437928000.0,-180.2748844707
000333,美的集团,2022-12-31 00:00:00,34657828000.0,327.5189996077,316997825000.0,2995.6525412333,35674963000.0,337.1309994614,-13509510000.0,-127.6658537399,3800095000.0,35.9111746072,7352115000.0,69.4780223908,-10854881000.0,-102.579416286
000333,美的集团,2023-03-31 00:00:00,9272312000.0,135.3147106746,76222164000.0,1112.3417836511,11721976000.0,171.0636776431,-25100790000.0,-366.3062822469,1247758000.0,18.2090521503,1554048000.0,22.6788696815,9068738000.0,132.3438705097
000333,美的集团,2021-12-31 00:00:00,35091704000.0,206.4031998059,310489824000.0,1826.2462598221,32095846000.0,188.7820926245,13599586000.0,79.9903608681,5648277000.0,33.2221668743,6825357000.0,40.1455433631,-31204539000.0,-183.5395824058
000333,美的集团,2022-03-31 00:00:00,7978986000.0,159.4179426718,77541698000.0,1549.2617691567,10851471000.0,216.809401819,-11536258000.0,-230.4912574719,1537811000.0,30.7250402292,1555626000.0,31.0809790225,8587145000.0,171.5687919899
000333,美的集团,2021-09-30 00:00:00,27896744000.0,418.7249852041,227937641000.0,3421.3019754268,24558796000.0,368.6230010115,6680656000.0,100.2754151077,4360871000.0,65.4558698661,5875219000.0,88.1859542048,-27666525000.0,-415.2694404506
000333,美的集团,2022-09-30 00:00:00,29472352000.0,296.3631491225,234341478000.0,2356.4518498593,26297099000.0,264.4339709442,-18705995000.0,-188.1006166617,3712469000.0,37.3312250023,4318974000.0,43.4300165667,-1171191000.0,-11.7770666211
000333,美的集团,2021-06-30 00:00:00,20176410000.0,161.1520315039,151628820000.0,1211.0822677343,17098011000.0,136.5643941279,9137053000.0,72.979021189,3033825000.0,24.2316181113,3447518000.0,27.535846533,-16559579000.0,-132.2638564888
000333,美的集团,2020-12-31 00:00:00,29557117000.0,428.7833521827,240052501000.0,3482.4274667457,28460318000.0,412.8721538107,-35310663000.0,-512.2497044936,4874990000.0,70.7211922616,4656582000.0,67.5527602937,-756295000.0,-10.9715269368
000333,美的集团,2021-03-31 00:00:00,8553861000.0,212.0630745431,70624192000.0,1750.8799000407,10119594000.0,250.8799496237,-932059000.0,-23.1071439196,942913000.0,23.3762308981,2145202000.0,53.1827827967,-3537964000.0,-87.711446733
000333,美的集团,2020-09-30 00:00:00,25014635000.0,2875.0008619956,182997506000.0,21032.4071285891,21507371000.0,2471.9013555169,-32098571000.0,-3689.1771274627,3554642000.0,408.5447904431,3206463000.0,368.5276194898,8101376000.0,931.113445523
000333,美的集团,2020-06-30 00:00:00,18405491000.0,3225.9716654894,117528304000.0,20599.4492946169,14977605000.0,2625.1584022884,-24944355000.0,-4372.0530163476,2872302000.0,503.4348101188,2060864000.0,361.2122529319,7033151000.0,1232.7161413465
000333,美的集团,2020-03-31 00:00:00,7668597000.0,301.8852185387,54493549000.0,2145.2159956791,8895742000.0,350.193525326,-5485574000.0,-215.9474159094,1005097000.0,39.5670717209,884830000.0,34.8325903577,300610000.0,11.8339398387
000333,美的集团,2019-12-31 00:00:00,38590404000.0,308.983321801,238815589000.0,1912.1342701432,26851139000.0,214.9900820515,-23107701000.0,-185.017348203,4026590000.0,32.2398582231,3451856000.0,27.6381126577,-3273601000.0,-26.210871263
000333,美的集团,2019-09-30 00:00:00,29790279000.0,435.5146041489,187113896000.0,2735.4840935592,20676547000.0,302.2777390527,-15750319000.0,-230.2594730483,1863837000.0,27.2480910049,2882478000.0,42.1399633464,-7546097000.0,-110.3190556834
000333,美的集团,2019-06-30 00:00:00,21787890000.0,713.1640776642,126154956000.0,4129.3205922421,13696292000.0,448.3088289687,-18030748000.0,-590.1848121601,695269000.0,22.7576362426,1931628000.0,63.2263014459,-6828689000.0,-223.5175454044
000333,美的集团,2019-03-31 00:00:00,11842782000.0,1195.8782187216,61230159000.0,6182.9909118449,8147054000.0,822.6854488539,-16811399000.0,-1697.606684843,233728000.0,23.6017368474,1143943000.0,115.5147934969,4139282000.0,417.9826315258
000333,美的集团,2018-12-31 00:00:00,27861080000.0,718.1854996596,211230723000.0,5444.9735021476,24709578000.0,636.94805163,-18642288000.0,-480.5492436789,2097948000.0,54.0795917689,5611851000.0,144.6587861795,-13387164000.0,-345.0859430562
000333,美的集团,2018-09-30 00:00:00,19589580000.0,168.7564399536,160376963000.0,1381.583746382,19638796000.0,169.180416218,-20978857000.0,-180.7245087243,1522671000.0,13.1172050233,3659281000.0,31.5232503377,-10826057000.0,-93.2621749958
000333,美的集团,2018-06-30 00:00:00,7613688000.0,66.7617948698,101192080000.0,887.3183255484,13600798000.0,119.2606902386,-8943677000.0,-78.4240080833,1007924000.0,8.8381366996,2368539000.0,20.7688987071,-10166609000.0,-89.1474755177
000333,美的集团,2018-03-31 00:00:00,4429092000.0,81.5200964306,55069088000.0,1013.579614988,7569431000.0,139.3199204363,-7250092000.0,-133.4422944863,470848000.0,8.6662400249,927703000.0,17.0749304866,-2254205000.0,-41.4899959121
000333,美的集团,2017-12-31 00:00:00,24442623000.0,262.31836215,195820338000.0,2101.5449258381,22740541000.0,244.0516089262,-34739608000.0,-372.8256608259,2727603000.0,29.2726501389,3218402000.0,34.5399076597,19651645000.0,210.9015603585
000333,美的集团,2017-09-30 00:00:00,20067642000.0,84.1462606178,148783253000.0,623.867736055,17042705000.0,71.4623021759,-18327750000.0,-76.8506647686,1664387000.0,6.9789934598,2071492000.0,8.6860382351,21987048000.0,92.1945822645
000333,美的集团,2017-06-30 00:00:00,13895932000.0,167.9733378494,99984184000.0,1208.603864687,11456781000.0,138.4890013552,-26751897000.0,-323.3756061049,1223225000.0,14.7862832224,1520059000.0,18.3743979143,20990804000.0,253.7357992269
000333,美的集团,2017-03-31 00:00:00,7008571000.0,80.5652141127,47125873000.0,541.7232768978,6338017000.0,72.857034145,-26909489000.0,-309.331066625,490466000.0,5.6380249704,510405000.0,5.8672285847,28551856000.0,328.210471429
000333,美的集团,2016-12-31 00:00:00,26695009000.0,364.3666962264,153324273000.0,2092.760440887,11652740000.0,159.0510936252,-19781084000.0,-269.9968456597,1954049000.0,26.6712919405,2323430000.0,31.713063405,159912000.0,2.1826779353
000333,美的集团,2016-09-30 00:00:00,19037495000.0,566.3231096182,112216632000.0,3338.1950716267,8673520000.0,258.0179176796,-17770441000.0,-528.6310728594,1339590000.0,39.8498213349,1605425000.0,47.7578209874,1992708000.0,59.2786283658
000333,美的集团,2016-06-30 00:00:00,8129163000.0,159.0990232115,67859148000.0,1328.0978820037,5660543000.0,110.7846972864,-16336731000.0,-319.7325412922,824805000.0,16.1425807109,1076411000.0,21.0668599798,13246447000.0,259.2513864862
000333,美的集团,2016-03-31 00:00:00,6595024000.0,359.4243780945,32056847000.0,1747.0766287806,3254369000.0,177.3609245266,-9560260000.0,-521.027748333,406105000.0,22.1324497176,484331000.0,26.3957141728,4802468000.0,261.731280162
000333,美的集团,2015-12-31 00:00:00,26764254000.0,31515.9073513654,125902444000.0,148254.823781543,10493582000.0,12356.5841998045,-17989193000.0,-21182.9457273059,2088899000.0,2459.7564852867,3130932000.0,3686.7892090482,-8876653000.0,-10452.589993288
000333,美的集团,2015-09-30 00:00:00,17970482000.0,1493.3240151971,92229531000.0,7664.1557835046,8776445000.0,729.3113276848,-9849714000.0,-818.4986056035,1529729000.0,127.1185187155,1898205000.0,157.7384019119,-6899879000.0,-573.3710989307
000333,美的集团,2015-06-30 00:00:00,8815673000.0,3752.8353774047,60039035000.0,25558.6402278348,6130766000.0,2609.8694376924,-8825101000.0,-3756.8488806208,1042100000.0,443.6223697038,1166631000.0,496.6352641684,272708000.0,116.0919001988
000333,美的集团,2015-03-31 00:00:00,2498717000.0,97.3143418406,25578063000.0,996.1561739098,3472711000.0,135.2472430322,-1175369000.0,-45.775596298,492989000.0,19.1998133721,523829000.0,20.4008994904,1325027000.0,51.6041354127
000333,美的集团,2014-12-31 00:00:00,24788512000.0,215.709202016,105499097000.0,918.0513145476,10426381000.0,90.7301868472,-28862397000.0,-251.1600787147,1345434000.0,11.7079433612,2678179000.0,23.3054672643,-7410130000.0,-64.4828228953
000333,美的集团,2014-09-30 00:00:00,13853704080.0,118.930621106,78057006280.0,670.1000818948,7876851140.0,67.6208177272,-24179641660.0,-207.5762398372,682830120.0,5.861927598,1610167830.0,13.8228923471,-1314530930.0,-11.2849227228
